comment_id,user_id,parent_user_id,node_id,poster,parent_content,content,support,parody
628,2010,,4,浙大:人在家中坐，喜从天上来,,浙大应用数学系最佳校友是史玉柱，发财是靠……,0,0
7127,5273,1935.0,26,天才少女姜萍：我有非实现不可的梦想,本来就是开卷考试，开卷考试就是各显神通，她能把陈景润华罗庚拉来帮她做题也是人家的本事，主办方都不在乎关咱啥事，再说公共资源，上个新闻也算公共资源？报道啥不是报道啊，闲着也是闲着,[偷笑R][偷笑R][偷笑R],0,0
2414,2404,2375.0,11,疑似姜萍小时候，好可爱哈哈哈,这孩子的穿着也不像家里很困难的,然后呢,2,0
4252,625,656.0,18,阿里数赛办的好！以后还是别办了...,你说反了，月考83分是在初赛之后的，初赛之前的月考，可是51分呢[偷笑R],那，高斯魂穿了一天又走了[偷笑R],2,0
4577,3793,3336.0,19,如果数学是假的，那什么是真的？,在采访中，姜萍对于学习数学的过程描绘的很生疏，很多数学的基本概念都搞错，完全符合一个数学并不好的中专生的水平。提到的最多的也就是偏微分和PDE，但是，这两个东西她也没搞明白。PDE就是偏微分方程，这是一个东西，她明显把它当成了两个东西。估计，她说话的草稿也是王闫秋写好的，让她背下来的，只不过她对偏微分知之甚少，所以才误以为PDE和偏微分是两个东西。就如同她的板书，是抄王闫秋的笔记，把累加符号抄成∞/2一样搞笑。充分说明，她的数学水平也就是一个普通高中生的水平，她应该连微积分是个什么东西都没搞明白。,这个时代假的东西太多了，习惯就好,2,0
6521,4921,4900.0,25,姜萍明日参加决赛，成绩8月公布,你以为是选择题吗？还改答案[笑哭R][笑哭R][笑哭R],你看这几天官媒还报道这事吗？,0,0
1086,3016,,10,阿里达摩院偷偷把介绍姜萍的封面换了！从数学天才换成出格人生！#姜萍全球数学竞赛夺得第12名[话题]# #姜萍进阿里数竞[话题]# #达摩院[话题]#,,我相信他,1,0
123,370,,0,看到这个新闻很想哭,,要相信自己，你不差,1,0
572,953,953.0,1,网传丘成桐对姜萍和阿里数赛的评价,《网传数学成绩》《网传邱成桐微信聊天记录》，你们真是不怕造谣被抓啊[赞R],丘,0,0
4339,3676,3205.0,18,阿里数赛办的好！以后还是别办了...,决赛成绩出来了哈哈哈，还有质疑的吗？打了多少人的脸？赵斌的500万块兑现,据悉？,1,0
3166,1087,2959.0,8,真服了😅，竟然有人说姜萍作弊才得的12名,那起碼要前10名的才可以給她作弊吧[笑哭R]而且請人作弊要給錢吧,他老师100多名，分数和她没差多少，可能一道题都不到。不确定的题目才用不同方式，分数有差别太正常了。而且她老师有作弊前科哟，去年和她媳妇分数一模一样[偷笑R][偷笑R][偷笑R],2,0
1103,3041,,10,阿里达摩院偷偷把介绍姜萍的封面换了！从数学天才换成出格人生！#姜萍全球数学竞赛夺得第12名[话题]# #姜萍进阿里数竞[话题]# #达摩院[话题]#,,引流来了？8月出成绩不真相大白了,0,0
1379,1575,1291.0,4,浙大:人在家中坐，喜从天上来,大家回去看看视频，她是要去浙江大学学习服装设计，不是学习数学，数学只是她的兴趣爱好planB，她真正喜欢的是服装设计planA[doge],浙江大学没有服装设计,0,0
6053,4638,4551.0,13,有一说一，真相快出来了,她兴趣在高等数学上，当你学会了高等数学解法你还会用初级解法去做题吗？我想我不会[偷笑R],看你主页是喜欢画图来着，就像你电子绘图很棒，让你纸绘一个简单的线条类，你一定不会差的，数学其实同理。如果一个人高等数学能好到那种程度，做中专数学题基本等于和玩儿差不多吧,2,0
2971,2154,292.0,10,阿里达摩院偷偷把介绍姜萍的封面换了！从数学天才换成出格人生！#姜萍全球数学竞赛夺得第12名[话题]# #姜萍进阿里数竞[话题]# #达摩院[话题]#,看了评论和很多帖子，好多人被情绪裹挟，不需要真相，只需要心理安慰,那你也太以偏概全,0,0
940,2732,,8,真服了😅，竟然有人说姜萍作弊才得的12名,,开卷考试，何来的作弊？,1,0
1336,362,1516.0,5,真的很讨厌夺舍梗,30个男性中的唯一一个女性，一些男的看不得女性在这些领域里取得一点成就，好像女生有什么成就是要了他们的命似的[笑哭R][笑哭R],差不多得了[笑哭R]2021年阿赛初赛的第一也是女生，北大的吴清玉。为什么姜萍会被怀疑？因为她根本没有办法证明自己的实力。你看有人去质疑吴清玉吗,2,0
4165,3566,3508.0,14,刘十三爷：咱就是红花底下那绿叶，哈哈！,网上还有信息说清华的教授不让学生参加这个比赛呢……如果都是业余爱好者随便考考也没什么好奇的。她的老师作弊能到第12名也挺厉害的[点赞R],他老师实力不弱，问题他老师也不是自己做的，是跟另一个人合伙做的，还有阿里这个赛事漏洞多，几个人合伙答题会有的为了拿奖金,2,0
6725,5035,4854.0,25,姜萍明日参加决赛，成绩8月公布,关于姜萍，我想说，美国常青藤的华裔数学教授，也是获得数学最高成就奖尤颠翰奖的Kobe Bryant直接公开表示他支持姜萍，日本女数学家，诺贝尔数学奖获得者みかみ ゆあ也在自己的推特上公开支持姜萍，这两位哪个不够重量级？不知道这些清北的所谓高材生在质疑什么,神特n诺贝尔数学奖，神特n科比布莱恩特。[笑哭R],0,0
1779,1303,133.0,4,浙大:人在家中坐，喜从天上来,[笑哭R]其他人还说她作弊，不知道谁传的答案,不说别的，人民日报都宣传的，肯定清清白白，其他谣言的人都是破防的，我在数学系学过四年，是真的很佩服她,1,0
6645,4999,4853.0,24,官宣！姜萍决赛时间定了！,评论区里承认一个人优秀真的太难了，尤其是一个普通姑娘的优秀,你这种治好了也流口水，学术的权威需要每个人质疑来维护,0,0
5062,4033,3975.0,18,阿里数赛办的好！以后还是别办了...,初赛都能作弊搞个12名，决赛成绩很有说服力？,官方出通知说她作弊啦？初赛都是公开考，如果她真的作弊了那她挺厉害的能做到12名,2,1
4981,4018,3855.0,16,浙江大学数高院邀请姜萍参加暑假班！！！,一个错别字已经让很多人高潮了，你高潮了几天？,因为太假了，正常人再怎么写错都不会把z求导写成汉字,2,0
6448,498,486.0,24,官宣！姜萍决赛时间定了！,到现在还相信姜萍的，只能说治好了也留口水,电脑是借的别人的她这次成绩会取消吗？借电脑的人也要进去吗？,0,0
6216,4746,4409.0,23,阿里数学竞赛应该会停办,所以这就是你仇视中专的理由？,看明白了，你中专[偷笑R],0,0
6852,5123,5110.0,24,官宣！姜萍决赛时间定了！,？所以这到底怎么回事，之前不是说很厉害怎么现在这么多人骂，我不太了解,因为是假的啊,0,0
1839,5243,,25,姜萍明日参加决赛，成绩8月公布,,^_^,0,0
6927,5157,5152.0,24,官宣！姜萍决赛时间定了！,别应激 看看我上一条回你什么[笑哭R],看了，你是一个学过一个没学过嘛[笑哭R][笑哭R][笑哭R]不是应激只是众说纷纭的事情，摆观点要说的东西多点而已,0,0
7257,5335,2.0,27,好犀利！中专女生爆冷拿下数学竞赛全球12名,网友问王闰秋是否替考，涟水政府说问题已经收悉，正在调查办理。但是到现在还没有公布调查结果。你说他们知道结果吗？[偷笑R],总之，真假就要看政府的办事效率。如果是真的，三天内就能全部调查清楚。如果是假的。……三个月都调查不完。所以结果可想而知。,0,0
4441,3722,3638.0,18,阿里数赛办的好！以后还是别办了...,你真不是反串吗,玩原生的是这样的，正常的智商表现[笑哭R],2,0
2415,2364,2364.0,8,真服了😅，竟然有人说姜萍作弊才得的12名,额，真是典型的见不得别人好[飞吻R],没说你哈作者[害羞R],0,0
6669,140,5011.0,25,姜萍明日参加决赛，成绩8月公布,那，，，谁用了她老师的电脑[偷笑R],阿里把答题卷公布。里面答题用了一种写数学公式的软件。JP直播用下这软件，讲下题呗。反正我非数学专业不用这软件。我就用用Word自带的插入公式就够用。一般人为啥会去学这软件,0,0
6658,5005,3929.0,25,姜萍明日参加决赛，成绩8月公布,83分也没什么啊，她说了这些题目太简单了，不想去做,不是哥们，都到那个水平了中专数学才83，鬼信啊,0,0
999,2838,,8,真服了😅，竟然有人说姜萍作弊才得的12名,,那是人家厉害网络上就有人嫉妒，贬低。我不相信她作弊[暗中观察R][暗中观察R][暗中观察R][暗中观察R],1,0
88,146,141.0,0,看到这个新闻很想哭,大环境对女生不友好[叹气R][叹气R][叹气R],什么大环境？,1,0
6386,4845,72.0,16,浙江大学数高院邀请姜萍参加暑假班！！！,扣一支持姜萍，扣二得到一个小布丁[doge],2,0,0
576,1925,,4,浙大:人在家中坐，喜从天上来,,如果这不叫天赋，那我们可能都属于弱智了[笑哭R],1,0
7033,5200,5203.0,25,姜萍明日参加决赛，成绩8月公布,这是造的谣,我看你是造的谣,1,0
4602,2266,2403.0,14,刘十三爷：咱就是红花底下那绿叶，哈哈！,那些相信神话的估计没学过高数吧，但凡上过大学，学过高数，这故事你都信不了,人家都是看废柴逆袭小说看多了,2,0
6663,743,4853.0,24,官宣！姜萍决赛时间定了！,评论区里承认一个人优秀真的太难了，尤其是一个普通姑娘的优秀,她纯纯让当枪使了，好处没有一堆锅，连官方都不提她了，相关方也没试图把热度变现，人太傻了，真出去用自己的信誉替别人演戏。就应该干脆利落的道歉，把利用自己的人抖出来，点明自己是被裹挟的。,0,0
7253,5332,2.0,27,好犀利！中专女生爆冷拿下数学竞赛全球12名,（1）浙江大学邀请姜萍去夏令营，姜萍为什么不去？（2）涟水中专开表彰大会，表彰名单里为什么没有王闰秋？（3）网友问是否代考，涟水政府为什么回答正在调查？（4）阿里巴巴为什么把宣传视频里的“数学方面”伪造成“数学分析”？（5）姜萍有没有参加决赛，主流媒体为什么不跟进报道了？,问题太多了，简言之就是，姜萍作假。,0,0
